Entity,Code,Year,Life Expectancy,GDP Per Capita,Annotations,Population,Continent
Afghanistan,AFG,2021,,,,39835428,
Africa,,2021,,,,1373486472,
Albania,ALB,2021,,,,2872934,
Algeria,DZA,2021,,,,44616626,
American Samoa,ASM,2021,,,,55103,
Andorra,AND,2021,,,,77354,
Angola,AGO,2021,,,,33933611,
Anguilla,AIA,2021,,,,15125,
Antigua and Barbuda,ATG,2021,,,,98728,
Argentina,ARG,2021,,,,45605823,
Armenia,ARM,2021,,,,2968128,
Aruba,ABW,2021,,,,107195,
Asia,,2021,,,,4678444992,
Australia,AUS,2021,,,,25788217,
Austria,AUT,2021,,,,9043072,
Azerbaijan,AZE,2021,,,,10223344,
Bahamas,BHS,2021,,,,396914,
Bahrain,BHR,2021,,,,1748295,
Bangladesh,BGD,2021,,,,166303494,
Barbados,BRB,2021,,,,287708,
Belarus,BLR,2021,,,,9442867,
Belgium,BEL,2021,,,,11632334,
Belize,BLZ,2021,,,,404915,
Benin,BEN,2021,,,,12451031,
Bermuda,BMU,2021,,,,62092,
Bhutan,BTN,2021,,,,779900,
Bolivia,BOL,2021,,,,11832936,
Bonaire Sint Eustatius and Saba,BES,2021,,,,26445,
Bosnia and Herzegovina,BIH,2021,,,,3263459,
Botswana,BWA,2021,,,,2397240,
Brazil,BRA,2021,,,,213993441,
British Virgin Islands,VGB,2021,,,,30423,
Brunei,BRN,2021,,,,441532,
Bulgaria,BGR,2021,,,,6896655,
Burkina Faso,BFA,2021,,,,21497097,
Burundi,BDI,2021,,,,12255429,
Cambodia,KHM,2021,,,,16946446,
Cameroon,CMR,2021,,,,27224262,
Canada,CAN,2021,,,,38067913,
Cape Verde,CPV,2021,,,,561901,
Cayman Islands,CYM,2021,,,,66498,
Central African Republic,CAF,2021,,,,4919987,
Chad,TCD,2021,,,,16914985,
Channel Islands,OWID_CIS,2021,,,,175244,
Chile,CHL,2021,,,,19212362,
China,CHN,2021,,,,1444216102,
Colombia,COL,2021,,,,51265841,
Comoros,COM,2021,,,,888456,
Congo,COG,2021,,,,5657017,
Cook Islands,COK,2021,,,,17572,
Costa Rica,CRI,2021,,,,5139053,
Cote d'Ivoire,CIV,2021,,,,27053629,
Croatia,HRV,2021,,,,4081657,
Cuba,CUB,2021,,,,11317498,
Curacao,CUW,2021,,,,164796,
Cyprus,CYP,2021,,,,1215588,
Czechia,CZE,2021,,,,10724553,
Democratic Republic of Congo,COD,2021,,,,92377986,
Denmark,DNK,2021,,,,5813302,
Djibouti,DJI,2021,,,,1002197,
Dominica,DMA,2021,,,,72172,
Dominican Republic,DOM,2021,,,,10953714,
Ecuador,ECU,2021,,,,17888474,
Egypt,EGY,2021,,,,104258327,
El Salvador,SLV,2021,,,,6518500,
Equatorial Guinea,GNQ,2021,,,,1449891,
Eritrea,ERI,2021,,,,3601462,
Estonia,EST,2021,,,,1325188,
Eswatini,SWZ,2021,,,,1172369,
Ethiopia,ETH,2021,,,,117876226,
Europe,,2021,,,,748962983,
Faeroe Islands,FRO,2021,,,,49053,
Falkland Islands,FLK,2021,,,,3528,
Fiji,FJI,2021,,,,902899,
Finland,FIN,2021,,,,5548361,
France,FRA,2021,,,,65426177,
French Guiana,GUF,2021,,,,306450,
French Polynesia,PYF,2021,,,,282534,
Gabon,GAB,2021,,,,2278829,
Gambia,GMB,2021,,,,2486937,
Georgia,GEO,2021,,,,3979773,
Germany,DEU,2021,,,,83900471,
Ghana,GHA,2021,,,,31732128,
Gibraltar,GIB,2021,,,,33691,
Greece,GRC,2021,,,,10370747,
Greenland,GRL,2021,,,,56868,
Grenada,GRD,2021,,,,113015,
Guadeloupe,GLP,2021,,,,400013,
Guam,GUM,2021,,,,170184,
Guatemala,GTM,2021,,,,18249868,
Guinea,GIN,2021,,,,13497237,
Guinea-Bissau,GNB,2021,,,,2015490,
Guyana,GUY,2021,,,,790329,
Haiti,HTI,2021,,,,11541683,
Honduras,HND,2021,,,,10062994,
Hong Kong,HKG,2021,,,,7552800,
Hungary,HUN,2021,,,,9634162,
Iceland,ISL,2021,,,,343360,
India,IND,2021,,,,1393409033,
Indonesia,IDN,2021,,,,276361788,
Iran,IRN,2021,,,,85028760,
Iraq,IRQ,2021,,,,41179351,
Ireland,IRL,2021,,,,4982904,
Isle of Man,IMN,2021,,,,85410,
Israel,ISR,2021,,,,8789776,
Italy,ITA,2021,,,,60367471,
Jamaica,JAM,2021,,,,2973462,
Japan,JPN,2021,,,,126050796,
Jordan,JOR,2021,,,,10269022,
Kazakhstan,KAZ,2021,,,,18994958,
Kenya,KEN,2021,,,,54985702,
Kiribati,KIR,2021,,,,121388,
Kuwait,KWT,2021,,,,4328553,
Kyrgyzstan,KGZ,2021,,,,6628347,
Laos,LAO,2021,,,,7379358,
Latvia,LVA,2021,,,,1866934,
Lebanon,LBN,2021,,,,6769151,
Lesotho,LSO,2021,,,,2159067,
Liberia,LBR,2021,,,,5180208,
Libya,LBY,2021,,,,6958538,
Liechtenstein,LIE,2021,,,,38254,
Lithuania,LTU,2021,,,,2689862,
Luxembourg,LUX,2021,,,,634814,
Macao,MAC,2021,,,,658391,
Madagascar,MDG,2021,,,,28427333,
Malawi,MWI,2021,,,,19647681,
Malaysia,MYS,2021,,,,32776195,
Maldives,MDV,2021,,,,543620,
Mali,MLI,2021,,,,20855724,
Malta,MLT,2021,,,,442790,
Marshall Islands,MHL,2021,,,,59618,
Martinique,MTQ,2021,,,,374743,
Mauritania,MRT,2021,,,,4775110,
Mauritius,MUS,2021,,,,1273428,
Mayotte,MYT,2021,,,,279507,
Mexico,MEX,2021,,,,130262220,
Micronesia (country),FSM,2021,,,,116255,
Moldova,MDA,2021,,,,4024025,
Monaco,MCO,2021,,,,39520,
Mongolia,MNG,2021,,,,3329282,
Montenegro,MNE,2021,,,,628051,
Montserrat,MSR,2021,,,,4981,
Morocco,MAR,2021,,,,37344787,
Mozambique,MOZ,2021,,,,32163045,
Myanmar,MMR,2021,,,,54806014,
Namibia,NAM,2021,,,,2587344,
Nauru,NRU,2021,,,,10873,
Nepal,NPL,2021,,,,29674920,
Netherlands,NLD,2021,,,,17173094,
New Caledonia,NCL,2021,,,,288217,
New Zealand,NZL,2021,,,,4860642,
Nicaragua,NIC,2021,,,,6702379,
Niger,NER,2021,,,,25130810,
Nigeria,NGA,2021,,,,211400704,
Niue,NIU,2021,,,,1614,
North America,,2021,,,,596581283,
North Korea,PRK,2021,,,,25887045,
North Macedonia,MKD,2021,,,,2082661,
Northern Mariana Islands,MNP,2021,,,,57910,
Norway,NOR,2021,,,,5465629,
Oceania,,2021,,,,43219954,
Oman,OMN,2021,,,,5223376,
Pakistan,PAK,2021,,,,225199929,
Palau,PLW,2021,,,,18174,
Palestine,PSE,2021,,,,5222756,
Panama,PAN,2021,,,,4381583,
Papua New Guinea,PNG,2021,,,,9119005,
Paraguay,PRY,2021,,,,7219641,
Peru,PER,2021,,,,33359415,
Philippines,PHL,2021,,,,111046910,
Poland,POL,2021,,,,37797000,
Portugal,PRT,2021,,,,10167923,
Puerto Rico,PRI,2021,,,,2828246,
Qatar,QAT,2021,,,,2930524,
Reunion,REU,2021,,,,901696,
Romania,ROU,2021,,,,19127772,
Russia,RUS,2021,,,,145912022,
Rwanda,RWA,2021,,,,13276517,
Saint Barthlemy,,2021,,,,9909,
Saint Helena,SHN,2021,,,,6095,
Saint Kitts and Nevis,KNA,2021,,,,53546,
Saint Lucia,LCA,2021,,,,184401,
Saint Martin (French part),MAF,2021,,,,39239,
Saint Pierre and Miquelon,SPM,2021,,,,5771,
Saint Vincent and the Grenadines,VCT,2021,,,,111269,
Samoa,WSM,2021,,,,200144,
San Marino,SMR,2021,,,,34010,
Sao Tome and Principe,STP,2021,,,,223364,
Saudi Arabia,SAU,2021,,,,35340680,
Senegal,SEN,2021,,,,17196308,
Serbia,SRB,2021,,,,8697547,
Seychelles,SYC,2021,,,,98910,
Sierra Leone,SLE,2021,,,,8141343,
Singapore,SGP,2021,,,,5896684,
Sint Maarten (Dutch part),SXM,2021,,,,43421,
Slovakia,SVK,2021,,,,5460726,
Slovenia,SVN,2021,,,,2078723,
Solomon Islands,SLB,2021,,,,703995,
Somalia,SOM,2021,,,,16359500,
South Africa,ZAF,2021,,,,60041996,
South America,,2021,,,,434260137,
South Korea,KOR,2021,,,,51305184,
South Sudan,SSD,2021,,,,11381377,
Spain,ESP,2021,,,,46745211,
Sri Lanka,LKA,2021,,,,21497306,
Sudan,SDN,2021,,,,44909351,
Suriname,SUR,2021,,,,591798,
Sweden,SWE,2021,,,,10160159,
Switzerland,CHE,2021,,,,8715494,
Syria,SYR,2021,,,,18275704,
Taiwan,TWN,2021,,,,23855008,
Tajikistan,TJK,2021,,,,9749625,
Tanzania,TZA,2021,,,,61498438,
Thailand,THA,2021,,,,69950844,
Timor,TLS,2021,,,,1343875,
Togo,TGO,2021,,,,8478242,
Tokelau,TKL,2021,,,,1368,
Tonga,TON,2021,,,,106759,
Trinidad and Tobago,TTO,2021,,,,1403374,
Tunisia,TUN,2021,,,,11935764,
Turkey,TUR,2021,,,,85042736,
Turkmenistan,TKM,2021,,,,6117933,
Turks and Caicos Islands,TCA,2021,,,,39226,
Tuvalu,TUV,2021,,,,11925,
Uganda,UGA,2021,,,,47123533,
Ukraine,UKR,2021,,,,43466822,
United Arab Emirates,ARE,2021,,,,9991083,
United Kingdom,GBR,2021,,,,68207114,
United States,USA,2021,,,,332915074,
United States Virgin Islands,VIR,2021,,,,104218,
Uruguay,URY,2021,,,,3485152,
Uzbekistan,UZB,2021,,,,33935765,
Vanuatu,VUT,2021,,,,314464,
Vatican,VAT,2021,,,,812,
Venezuela,VEN,2021,,,,28704947,
Vietnam,VNM,2021,,,,98168829,
Wallis and Futuna,WLF,2021,,,,11094,
Western Sahara,ESH,2021,,,,611872,
World,OWID_WRL,2021,,,,7874965730,
Yemen,YEM,2021,,,,30490639,
Zambia,ZMB,2021,,,,18920657,
Zimbabwe,ZWE,2021,,,,15092171,
Afghanistan,AFG,2020,,,,38928341,
Africa,,2020,,,,1340598111,
Albania,ALB,2020,,,,2877800,
Algeria,DZA,2020,,,,43851043,
American Samoa,ASM,2020,,,,55197,
Andorra,AND,2020,,,,77265,
Angola,AGO,2020,,,,32866267,
Anguilla,AIA,2020,,,,15002,
Antigua and Barbuda,ATG,2020,,,,97928,
Argentina,ARG,2020,,,,45195777,
Armenia,ARM,2020,,,,2963234,
Aruba,ABW,2020,,,,106766,
Asia,,2020,,,,4639847425,
Australia,AUS,2020,,,,25499881,
Austria,AUT,2020,,,,9006400,
Azerbaijan,AZE,2020,,,,10139175,
Bahamas,BHS,2020,,,,393248,
Bahrain,BHR,2020,,,,1701583,
Bangladesh,BGD,2020,,,,164689383,
Barbados,BRB,2020,,,,287371,
Belarus,BLR,2020,,,,9449321,
Belgium,BEL,2020,,,,11589616,
Belize,BLZ,2020,,,,397621,
Benin,BEN,2020,,,,12123198,
Bermuda,BMU,2020,,,,62273,
Bhutan,BTN,2020,,,,771612,
Bolivia,BOL,2020,,,,11673029,
Bonaire Sint Eustatius and Saba,BES,2020,,,,26221,
Bosnia and Herzegovina,BIH,2020,,,,3280815,
Botswana,BWA,2020,,,,2351625,
Brazil,BRA,2020,,,,212559409,
British Virgin Islands,VGB,2020,,,,30237,
Brunei,BRN,2020,,,,437483,
Bulgaria,BGR,2020,,,,6948445,
Burkina Faso,BFA,2020,,,,20903278,
Burundi,BDI,2020,,,,11890781,
Cambodia,KHM,2020,,,,16718971,
Cameroon,CMR,2020,,,,26545864,
Canada,CAN,2020,,,,37742157,
Cape Verde,CPV,2020,,,,555988,
Cayman Islands,CYM,2020,,,,65720,
Central African Republic,CAF,2020,,,,4829764,
Chad,TCD,2020,,,,16425859,
Channel Islands,OWID_CIS,2020,,,,173859,
Chile,CHL,2020,,,,19116209,
China,CHN,2020,,,,1439323774,
Colombia,COL,2020,,,,50882884,
Comoros,COM,2020,,,,869595,
Congo,COG,2020,,,,5518092,
Cook Islands,COK,2020,,,,17564,
Costa Rica,CRI,2020,,,,5094114,
Cote d'Ivoire,CIV,2020,,,,26378275,
Croatia,HRV,2020,,,,4105268,
Cuba,CUB,2020,,,,11326616,
Curacao,CUW,2020,,,,164100,
Cyprus,CYP,2020,,,,1207361,
Czechia,CZE,2020,,,,10708982,
Democratic Republic of Congo,COD,2020,,,,89561404,
Denmark,DNK,2020,,,,5792203,
Djibouti,DJI,2020,,,,988002,
Dominica,DMA,2020,,,,71991,
Dominican Republic,DOM,2020,,,,10847904,
Ecuador,ECU,2020,,,,17643060,
Egypt,EGY,2020,,,,102334403,
El Salvador,SLV,2020,,,,6486201,
Equatorial Guinea,GNQ,2020,,,,1402985,
Eritrea,ERI,2020,,,,3546427,
Estonia,EST,2020,,,,1326539,
Eswatini,SWZ,2020,,,,1160164,
Ethiopia,ETH,2020,,,,114963583,
Europe,,2020,,,,748843405,
Faeroe Islands,FRO,2020,,,,48865,
Falkland Islands,FLK,2020,,,,3483,
Fiji,FJI,2020,,,,896444,
Finland,FIN,2020,,,,5540718,
France,FRA,2020,,,,65273512,
French Guiana,GUF,2020,,,,298682,
French Polynesia,PYF,2020,,,,280904,
Gabon,GAB,2020,,,,2225728,
Gambia,GMB,2020,,,,2416664,
Georgia,GEO,2020,,,,3989175,
Germany,DEU,2020,,,,83783945,
Ghana,GHA,2020,,,,31072945,
Gibraltar,GIB,2020,,,,33691,
Greece,GRC,2020,,,,10423056,
Greenland,GRL,2020,,,,56772,
Grenada,GRD,2020,,,,112519,
Guadeloupe,GLP,2020,,,,400127,
Guam,GUM,2020,,,,168783,
Guatemala,GTM,2020,,,,17915567,
Guinea,GIN,2020,,,,13132792,
Guinea-Bissau,GNB,2020,,,,1967998,
Guyana,GUY,2020,,,,786559,
Haiti,HTI,2020,,,,11402533,
Honduras,HND,2020,,,,9904608,
Hong Kong,HKG,2020,,,,7496988,
Hungary,HUN,2020,,,,9660350,
Iceland,ISL,2020,,,,341250,
India,IND,2020,,,,1380004385,
Indonesia,IDN,2020,,,,273523621,
Iran,IRN,2020,,,,83992953,
Iraq,IRQ,2020,,,,40222503,
Ireland,IRL,2020,,,,4937796,
Isle of Man,IMN,2020,,,,85032,
Israel,ISR,2020,,,,8655541,
Italy,ITA,2020,,,,60461828,
Jamaica,JAM,2020,,,,2961161,
Japan,JPN,2020,,,,126476458,
Jordan,JOR,2020,,,,10203140,
Kazakhstan,KAZ,2020,,,,18776707,
Kenya,KEN,2020,,,,53771300,
Kiribati,KIR,2020,,,,119446,
Kuwait,KWT,2020,,,,4270563,
Kyrgyzstan,KGZ,2020,,,,6524191,
Laos,LAO,2020,,,,7275556,
Latvia,LVA,2020,,,,1886202,
Lebanon,LBN,2020,,,,6825442,
Lesotho,LSO,2020,,,,2142252,
Liberia,LBR,2020,,,,5057677,
Libya,LBY,2020,,,,6871287,
Liechtenstein,LIE,2020,,,,38137,
Lithuania,LTU,2020,,,,2722291,
Luxembourg,LUX,2020,,,,625976,
Macao,MAC,2020,,,,649342,
Madagascar,MDG,2020,,,,27691019,
Malawi,MWI,2020,,,,19129955,
Malaysia,MYS,2020,,,,32365998,
Maldives,MDV,2020,,,,540542,
Mali,MLI,2020,,,,20250834,
Malta,MLT,2020,,,,441539,
Marshall Islands,MHL,2020,,,,59194,
Martinique,MTQ,2020,,,,375265,
Mauritania,MRT,2020,,,,4649660,
Mauritius,MUS,2020,,,,1271767,
Mayotte,MYT,2020,,,,272813,
Mexico,MEX,2020,,,,128932753,
Micronesia (country),FSM,2020,,,,115021,
Moldova,MDA,2020,,,,4033963,
Monaco,MCO,2020,,,,39244,
Mongolia,MNG,2020,,,,3278292,
Montenegro,MNE,2020,,,,628062,
Montserrat,MSR,2020,,,,4999,
Morocco,MAR,2020,,,,36910558,
Mozambique,MOZ,2020,,,,31255435,
Myanmar,MMR,2020,,,,54409794,
Namibia,NAM,2020,,,,2540916,
Nauru,NRU,2020,,,,10834,
Nepal,NPL,2020,,,,29136808,
Netherlands,NLD,2020,,,,17134873,
New Caledonia,NCL,2020,,,,285491,
New Zealand,NZL,2020,,,,4822233,
Nicaragua,NIC,2020,,,,6624554,
Niger,NER,2020,,,,24206636,
Nigeria,NGA,2020,,,,206139587,
Niue,NIU,2020,,,,1618,
North America,,2020,,,,592062319,
North Korea,PRK,2020,,,,25778815,
North Macedonia,MKD,2020,,,,2083380,
Northern Mariana Islands,MNP,2020,,,,57557,
Norway,NOR,2020,,,,5421242,
Oceania,,2020,,,,42677809,
Oman,OMN,2020,,,,5106622,
Pakistan,PAK,2020,,,,220892331,
Palau,PLW,2020,,,,18092,
Palestine,PSE,2020,,,,5101416,
Panama,PAN,2020,,,,4314768,
Papua New Guinea,PNG,2020,,,,8947027,
Paraguay,PRY,2020,,,,7132530,
Peru,PER,2020,,,,32971845,
Philippines,PHL,2020,,,,109581085,
Poland,POL,2020,,,,37846605,
Portugal,PRT,2020,,,,10196707,
Puerto Rico,PRI,2020,,,,2860840,
Qatar,QAT,2020,,,,2881060,
Reunion,REU,2020,,,,895308,
Romania,ROU,2020,,,,19237682,
Russia,RUS,2020,,,,145934460,
Rwanda,RWA,2020,,,,12952209,
Saint Barthlemy,,2020,,,,9885,
Saint Helena,SHN,2020,,,,6071,
Saint Kitts and Nevis,KNA,2020,,,,53192,
Saint Lucia,LCA,2020,,,,183629,
Saint Martin (French part),MAF,2020,,,,38659,
Saint Pierre and Miquelon,SPM,2020,,,,5795,
Saint Vincent and the Grenadines,VCT,2020,,,,110947,
Samoa,WSM,2020,,,,198410,
San Marino,SMR,2020,,,,33938,
Sao Tome and Principe,STP,2020,,,,219161,
Saudi Arabia,SAU,2020,,,,34813867,
Senegal,SEN,2020,,,,16743930,
Serbia,SRB,2020,,,,8737370,
Seychelles,SYC,2020,,,,98340,
Sierra Leone,SLE,2020,,,,7976985,
Singapore,SGP,2020,,,,5850343,
Sint Maarten (Dutch part),SXM,2020,,,,42882,
Slovakia,SVK,2020,,,,5459643,
Slovenia,SVN,2020,,,,2078931,
Solomon Islands,SLB,2020,,,,686878,
Somalia,SOM,2020,,,,15893219,
South Africa,ZAF,2020,,,,59308690,
South America,,2020,,,,430759771,
South Korea,KOR,2020,,,,51269183,
South Sudan,SSD,2020,,,,11193729,
Spain,ESP,2020,,,,46754783,
Sri Lanka,LKA,2020,,,,21413250,
Sudan,SDN,2020,,,,43849269,
Suriname,SUR,2020,,,,586634,
Sweden,SWE,2020,,,,10099270,
Switzerland,CHE,2020,,,,8654618,
Syria,SYR,2020,,,,17500657,
Taiwan,TWN,2020,,,,23816775,
Tajikistan,TJK,2020,,,,9537642,
Tanzania,TZA,2020,,,,59734213,
Thailand,THA,2020,,,,69799978,
Timor,TLS,2020,,,,1318442,
Togo,TGO,2020,,,,8278736,
Tokelau,TKL,2020,,,,1350,
Tonga,TON,2020,,,,105697,
Trinidad and Tobago,TTO,2020,,,,1399491,
Tunisia,TUN,2020,,,,11818618,
Turkey,TUR,2020,,,,84339067,
Turkmenistan,TKM,2020,,,,6031187,
Turks and Caicos Islands,TCA,2020,,,,38718,
Tuvalu,TUV,2020,,,,11792,
Uganda,UGA,2020,,,,45741000,
Ukraine,UKR,2020,,,,43733759,
United Arab Emirates,ARE,2020,,,,9890400,
United Kingdom,GBR,2020,,,,67886004,
United States,USA,2020,,,,331002647,
United States Virgin Islands,VIR,2020,,,,104423,
Uruguay,URY,2020,,,,3473727,
Uzbekistan,UZB,2020,,,,33469199,
Vanuatu,VUT,2020,,,,307150,
Vatican,VAT,2020,,,,809,
Venezuela,VEN,2020,,,,28435943,
Vietnam,VNM,2020,,,,97338583,
Wallis and Futuna,WLF,2020,,,,11246,
Western Sahara,ESH,2020,,,,597330,
World,OWID_WRL,2020,,,,7794798725,
Yemen,YEM,2020,,,,29825968,
Zambia,ZMB,2020,,,,18383956,
Zimbabwe,ZWE,2020,,,,14862927,
Afghanistan,AFG,2019,64.833,,,38041757,
Africa,,2019,63.17,,,1308064176,
Albania,ALB,2019,78.573,,,2880913,
Algeria,DZA,2019,76.88,,,43053054,
American Samoa,ASM,2019,73.745,,,55312,
Americas,,2019,76.83538896,,,,
Andorra,AND,2019,83.732,,,77146,
Angola,AGO,2019,61.147,,,31825299,
Anguilla,AIA,2019,81.877,,,14872,
Antigua and Barbuda,ATG,2019,77.016,,,97115,
Argentina,ARG,2019,76.667,,,44780675,
Armenia,ARM,2019,75.087,,,2957728,
Aruba,ABW,2019,76.293,,,106310,
Asia,,2019,73.593,,,4600172691,
Australia,AUS,2019,83.436,,,25203200,
Austria,AUT,2019,81.544,,,8955108,
Azerbaijan,AZE,2019,73.005,,,10047719,
Bahamas,BHS,2019,73.918,,,389486,
Bahrain,BHR,2019,77.292,,,1641164,
Bangladesh,BGD,2019,72.591,,,163046173,
Barbados,BRB,2019,79.19,,,287021,
Belarus,BLR,2019,74.791,,,9452409,
Belgium,BEL,2019,81.628,,,11539326,
Belize,BLZ,2019,74.623,,,390351,
Benin,BEN,2019,61.771,,,11801151,
Bermuda,BMU,2019,82.593,,,62508,
Bhutan,BTN,2019,71.777,,,763094,
Bolivia,BOL,2019,71.513,,,11513102,
Bonaire Sint Eustatius and Saba,BES,2019,77.788,,,25983,
Bosnia and Herzegovina,BIH,2019,77.401,,,3300998,
Botswana,BWA,2019,69.592,,,2303703,
Brazil,BRA,2019,75.881,,,211049519,
British Virgin Islands,VGB,2019,79.069,,,30033,
Brunei,BRN,2019,75.86,,,433296,
Bulgaria,BGR,2019,75.046,,,7000117,
Burkina Faso,BFA,2019,61.577,,,20321383,
Burundi,BDI,2019,61.584,,,11530577,
Cambodia,KHM,2019,69.823,,,16486542,
Cameroon,CMR,2019,59.292,,,25876387,
Canada,CAN,2019,82.434,,,37411038,
Cape Verde,CPV,2019,72.981,,,549936,
Cayman Islands,CYM,2019,83.924,,,64947,
Central African Republic,CAF,2019,53.283,,,4745179,
Chad,TCD,2019,54.239,,,15946882,
Channel Islands,OWID_CIS,2019,83.086,,,172264,
Chile,CHL,2019,80.181,,,18952035,
China,CHN,2019,76.912,,,1433783692,
Colombia,COL,2019,77.287,,,50339443,
Comoros,COM,2019,64.321,,,850891,
Congo,COG,2019,64.57,,,5380504,
Cook Islands,COK,2019,76.246,,,17547,
Costa Rica,CRI,2019,80.279,,,5047561,
Cote d'Ivoire,CIV,2019,57.783,,,25716554,
Croatia,HRV,2019,78.488,,,4130299,
Cuba,CUB,2019,78.802,,,11333484,
Curacao,CUW,2019,78.88,,,163423,
Cyprus,CYP,2019,80.982,,,1198574,
Czechia,CZE,2019,79.376,,,10689213,
Democratic Republic of Congo,COD,2019,60.681,,,86790568,
Denmark,DNK,2019,80.898,,,5771877,
Djibouti,DJI,2019,67.112,,,973557,
Dominica,DMA,2019,75,,,71808,
Dominican Republic,DOM,2019,74.081,,,10738957,
Ecuador,ECU,2019,77.01,,,17373657,
Egypt,EGY,2019,71.99,,,100388076,
El Salvador,SLV,2019,73.317,,,6453550,
Equatorial Guinea,GNQ,2019,58.735,,,1355982,
Eritrea,ERI,2019,66.321,,,3497117,
Estonia,EST,2019,78.745,,,1325649,
Eswatini,SWZ,2019,60.194,,,1148133,
Ethiopia,ETH,2019,66.597,,,112078727,
Europe,,2019,78.587,,,748381389,
Faeroe Islands,FRO,2019,80.666,,,48677,
Falkland Islands,FLK,2019,81.442,,,3372,
Fiji,FJI,2019,67.444,,,889955,
Finland,FIN,2019,81.908,,,5532159,
France,FRA,2019,82.659,,,65129731,
French Guiana,GUF,2019,79.952,,,290823,
French Polynesia,PYF,2019,77.657,,,279285,
Gabon,GAB,2019,66.467,,,2172578,
Gambia,GMB,2019,62.05,,,2347696,
Georgia,GEO,2019,73.767,,,3996762,
Germany,DEU,2019,81.326,,,83517046,
Ghana,GHA,2019,64.074,,,30417858,
Gibraltar,GIB,2019,79.927,,,33706,
Greece,GRC,2019,82.239,,,10473452,
Greenland,GRL,2019,71.704,,,56660,
Grenada,GRD,2019,72.397,,,112002,
Guadeloupe,GLP,2019,82.138,,,400048,
Guam,GUM,2019,80.074,,,167295,
Guatemala,GTM,2019,74.302,,,17581476,
Guinea,GIN,2019,61.602,,,12771246,
Guinea-Bissau,GNB,2019,58.322,,,1920917,
Guyana,GUY,2019,69.906,,,782775,
Haiti,HTI,2019,64.001,,,11263079,
Honduras,HND,2019,75.27,,,9746115,
Hong Kong,HKG,2019,84.857,,,7436157,
Hungary,HUN,2019,76.875,,,9684680,
Iceland,ISL,2019,82.993,,,339037,
India,IND,2019,69.656,,,1366417756,
Indonesia,IDN,2019,71.716,,,270625567,
Iran,IRN,2019,76.677,,,82913893,
Iraq,IRQ,2019,70.604,,,39309789,
Ireland,IRL,2019,82.305,,,4882498,
Isle of Man,IMN,2019,81.396,,,84589,
Israel,ISR,2019,82.972,,,8519373,
Italy,ITA,2019,83.512,,,60550092,
Jamaica,JAM,2019,74.475,,,2948277,
Japan,JPN,2019,84.629,,,126860299,
Jordan,JOR,2019,74.526,,,10101697,
Kazakhstan,KAZ,2019,73.597,,,18551428,
Kenya,KEN,2019,66.699,,,52573967,
Kiribati,KIR,2019,68.369,,,117608,
Kuwait,KWT,2019,75.489,,,4207077,
Kyrgyzstan,KGZ,2019,71.45,,,6415851,
Laos,LAO,2019,67.923,,,7169456,
Latin America and the Caribbean,,2019,75.486,,,,
Latvia,LVA,2019,75.292,,,1906740,
Lebanon,LBN,2019,78.93,,,6855709,
Lesotho,LSO,2019,54.331,,,2125267,
Liberia,LBR,2019,64.104,,,4937374,
Libya,LBY,2019,72.913,,,6777453,
Liechtenstein,LIE,2019,82.494,,,38020,
Lithuania,LTU,2019,75.933,,,2759631,
Luxembourg,LUX,2019,82.25,,,615730,
Macao,MAC,2019,84.244,,,640446,
Madagascar,MDG,2019,67.041,,,26969306,
Malawi,MWI,2019,64.263,,,18628749,
Malaysia,MYS,2019,76.156,,,31949789,
Maldives,MDV,2019,78.921,,,530957,
Mali,MLI,2019,59.306,,,19658023,
Malta,MLT,2019,82.53,,,440377,
Marshall Islands,MHL,2019,73.696,,,58791,
Martinique,MTQ,2019,82.545,,,375557,
Mauritania,MRT,2019,64.925,,,4525698,
Mauritius,MUS,2019,74.991,,,1269670,
Mayotte,MYT,2019,79.455,,,266153,
Mexico,MEX,2019,75.054,,,127575529,
Micronesia (country),FSM,2019,67.883,,,113811,
Moldova,MDA,2019,71.901,,,4043258,
Monaco,MCO,2019,86.751,,,38967,
Mongolia,MNG,2019,69.87,,,3225166,
Montenegro,MNE,2019,76.884,,,627988,
Montserrat,MSR,2019,74.158,,,4991,
Morocco,MAR,2019,76.68,,,36471766,
Mozambique,MOZ,2019,60.854,,,30366043,
Myanmar,MMR,2019,67.134,,,54045422,
Namibia,NAM,2019,63.708,,,2494524,
Nauru,NRU,2019,59.962,,,10764,
Nepal,NPL,2019,70.778,,,28608715,
Netherlands,NLD,2019,82.283,,,17097123,
New Caledonia,NCL,2019,77.55,,,282757,
New Zealand,NZL,2019,82.288,,,4783062,
Nicaragua,NIC,2019,74.485,,,6545503,
Niger,NER,2019,62.42,,,23310719,
Nigeria,NGA,2019,54.687,,,200963603,
Niue,NIU,2019,73.708,,,1614,
North America,,2019,,,,587512621,
North Korea,PRK,2019,72.274,,,25666158,
North Macedonia,MKD,2019,75.797,,,2083458,
Northern America,,2019,79.221,,,,
Northern Mariana Islands,MNP,2019,76.735,,,57213,
Norway,NOR,2019,82.404,,,5378859,
Oceania,,2019,78.71,,,42128048,
Oman,OMN,2019,77.861,,,4974992,
Pakistan,PAK,2019,67.273,,,216565317,
Palau,PLW,2019,73.701,,,18001,
Palestine,PSE,2019,74.053,,,4981422,
Panama,PAN,2019,78.506,,,4246440,
